Image,Hit Rate,IOVC
targetImages\sun_aesdwymqhhiewhyo.jpg,92.86%,0.5412822173356693
targetImages\sun_bisnnysqxgpavrkh.jpg,92.59%,0.76644004992958
targetImages\sun_bzfcixnmhtzpmwij.jpg,92.59%,0.8243241381900659
targetImages\sun_bacfwopdcsewxkne.jpg,86.67%,0.8009271601081369
targetImages\sun_ahbwwdffoiigyxqx.jpg,85.71%,0.6375484057437417
targetImages\sun_agenkchqfjxvsppn.jpg,82.76%,0.4689354967681172
targetImages\sun_ailjxpgyepocjdos.jpg,82.76%,0.824873938434661
targetImages\sun_byziwbrwhhpxaydu.jpg,82.76%,0.5795134672888524
targetImages\sun_aewtvpwulyxhqvuv.jpg,82.14%,0.7670955849295549
targetImages\sun_btjevcvrxjpeyoxz.jpg,79.31%,0.7100589244907551
targetImages\sun_burokageiugamrul.jpg,78.57%,0.6808685056705677
targetImages\sun_amssqaxrfmufhwxv.jpg,77.78%,0.764826572882841
targetImages\sun_ayuqdxlbdhbbgypd.jpg,77.78%,0.6538512537810246
targetImages\sun_aiyjrnbytpirechl.jpg,75.86%,0.8980144907674656
targetImages\sun_aywhxcvpafxkujrj.jpg,75.86%,0.4007792151406908
targetImages\sun_bgshkoltnrmilxns.jpg,75.86%,0.5182792514022988
targetImages\sun_amkeeuvicewppjqo.jpg,75.00%,0.4116171400033472
targetImages\sun_aplqnvinpntdexdw.jpg,75.00%,0.7403319035488152
targetImages\sun_arsolpsoaipmhdio.jpg,75.00%,0.5627975495610436
targetImages\sun_bpkiszwjhbnsrmtr.jpg,75.00%,0.3447330660914924
targetImages\sun_bwidvgzwofvfteaj.jpg,75.00%,0.4002991228830965
targetImages\sun_bukzvwbkvedjexbe.jpg,72.41%,0.5614063437414091
targetImages\sun_buubpayscjcxyypt.jpg,72.41%,0.6606860450402247
targetImages\sun_bkxzmjorpemztasj.jpg,71.43%,0.5886714447353852
targetImages\sun_byuhjpweygtwpwbj.jpg,71.43%,0.5905074124383553
targetImages\sun_agoqtmhicqrakxqs.jpg,67.86%,0.3291288277875662
targetImages\sun_bxxtkmyydusifqkv.jpg,67.86%,0.4301558104014516
targetImages\sun_bzjdnotizomfsdad.jpg,62.07%,0.3290518073975954
targetImages\sun_cesisdcqpsijbubk.jpg,62.07%,0.7046189874370612
targetImages\sun_apytdxunawwxcvdw.jpg,51.72%,0.6134865932353167
